GO:0000034~adenine deaminase activity	add,
GO:0005524~ATP binding	wcbL,wzt,BPSL0469,dnaK,coaE,irlS,glnQ,BPSS2325,BPSS2259,BPSS2250,BPSS2249,BPSS2211,oppD,oppF,BPSS2132,BPSS2130,BPSS2102,BPSS2094,BPSS2085,BPSS2069,BPSS2058,BPSS2034,irlS2,ackA,atpD2,atpC,atpA2,BPSS1938,BPSS1931,cysC,trpS,BPSS1862,BPSS1830,BPSS1788,thrB,BPSS1738,accD,folC,BPSS1671,BPSS1627,tauB,bsaS,BPSS1502,nadE,BPSS1445,BPSS1426,BPSS1416,sctN,BPSS1317,ileS2,BPSS1307,BPSS1291,BPSS1285,xylB,BPSS1236,thiM,ftsH,BPSS1100,BPSS1096,BPSS1095,BPSS1063,BPSS1032,hisP,mgtB,BPSS0951,BPSS0950,BPSS0934,BPSS0856,rbsK,BPSS0820,BPSS0787,BPSS0702,BPSS0677,mreB,macB,BPSS0596,pchI,pchH,braG,braF,BPSS0522,groEL2,groS,potG,acsA,uvrB,BPSS0345,metN2,selD,BPSS0255,BPSS0248,hmuV,BPSS0224,prpR,pxpA2,accC,BPSS0195,BPSS0194,BPSS0174,asnO,dbpA,rbsA,pyk,BPSS0116,dctD,uvrA,BPSL3418,BPSL3417,BPSL3410,BPSL3409,atpA1,atpG,atpD1,priA,BPSL3378,rep,cheA,recQ,aroK,ugpC,BPSL3155,BPSL3150,BPSL3144,hisG,hisE,clpB,BPSL3093,BPSL3080,ettA,ychF,murE,murF,murD,murC,ddl,secA,proB,proS,BPSL2992,mpl,araG,thiL,leuS,BPSL2929,gltL,anmK,tyrS,ruvB,ruvA,mnmA,recG,phnN,phnK,phnL,phnC,BPSL2841,glnE,BPSL2834,nadK,dnaJ,BPSL2823,BPSL2822,pcnB,purM,miaA,mutL,wzt2,BPSL2778,nrdR,BPSL2723,BPSL2655,BPSL2654,BPSL2617,glk,BPSL2608,BPSL2604,BPSL2602,serS,minD,gmk,gyrA,cmk,metN1,BPSL2475,BPSL2474,BPSL2423,BPSL2409,pdxY,BPSL2370,glnA,glnG,BPSL2313,hscA,lysS,lolD,pyrG,mutS,cysS,accA,tilS,ask,BPSL2216,BPSL2214,BPSL2200,gltX,BPSL2187,radA,BPSL2176,smc,pyrH,BPSL2143,ppsA,guaA,mfd,glnS,alaS,BPSL1999,BPSL1998,BPSL1993,valS,BPSL1979,thrS,pheS,pheT,BPSL1906,BPSL1893,BPSL1887,ssuB,nodI,cysA,BPSL1833,BPSL1823,BPSL1797,BPSL1784,BPSL1779,cobO,BPSL1767,BPSL1739,argG,BPSL1719,BPSL1715,BPSL1664,BPSL1652,BPSL1613,BPSL1609,BPSL1605,BPSL1562,BPSL1548,BPSL1546,BPSL1530,hisS,ndk,dnaX,rho,BPSL1466,dnaB,BPSL1443,tmk,selO,purL,nnrE,BPSL1412,lon,clpX,ppk,pstB,carB,carA,mdcB,BPSL1300,recD,recB,recC,BPSL1276,BPSL1189,BPSL1181,kdpC,kdpB,purD,nadD,msbA,dnaE,gluQ,rhlE2,purT,BPSL1109,BPSL1098,htpG,parC,parE,uup,BPSL1040,BPSL1000,metG,panC,BPSL0986,BPSL0978,cysN,BPSL0923,BPSL0922,BPSL0907,ileS1,clpA,lpxK,adk,dalK,BPSL0833,BPSL0823,BPSL0802,purK,purC,pykA,pgk,sucD,sucC,BPSL0763,BPSL0712,rhlE1,glpK,BPSL0682,BPSL0681,BPSL0673,glyQ,glyS,BPSL0655,aspS,ubiB,BPSL0609,BPSL0597,BPSL0571,BPSL0534,hprK,BPSL0529,ispE,prs,coaD,BPSL0479,gshB,BPSL0432,BPSL0402,coaX,BPSL0395,argS,BPSL0375,aceK,bioD,BPSL0350,ttcA,silP,cca,BPSL0261,BPSL0259,BPSL0258,pxpA1,dppF,dppD,BPSL0245,fliI,srkA,metK,hslU,argB,gatB,gatA,gatC,queC,BPSL0172,gshA,dnaA,gyrB,BPSL0047,BPSL0046,BPSL0043,BPSL0037,gspE,BPSL0001,recA,groEL1,
GO:0005525~GTP binding	manC,BPSS1835,selB,folE,BPSS1121,ribA,flhF,tuf1,fusA2,engB,ychF,ftsZ,obg,ffh,ureG,rsgA,mobA,moaA,lepA,era,infB,typA,purA,hflX,der,pckG,upp,BPSL0986,cysN,fusA1,BPSL0529,ftsY,mnmE,
GO:0005536~glucose binding	glk,
GO:0008061~chitin binding	BPSS0493,
GO:0008080~N-acetyltransferase activity	BPSS2310,BPSS2309,BPSS2130,BPSS2062,BPSS1882,BPSS1675,BPSS1608,BPSS1459,BPSS1336,BPSS1168,BPSS1006,BPSS0930,BPSS0876,BPSS0810,BPSS0422,BPSS0297,BPSS0262,BPSS0222,BPSL3237,BPSL2786,BPSL2710,BPSL2598,BPSL2487,BPSL2457,BPSL2415,argA,BPSL2196,rimI,BPSL1880,BPSL1713,BPSL1438,BPSL1432,BPSL1417,BPSL0925,BPSL0508,BPSL0431,speG,
GO:0008081~phosphoric diester hydrolase activity	BPSS1648,BPSS0405,ugpQ,BPSL3156,BPSL3066,BPSL2712,glnD,BPSL0704,
GO:0008094~ATP-dependent activity, acting on DNA	BPSS1291,dbpA,priA,recQ,recG,BPSL2187,radA,mfd,rhlE2,rhlE1,recA,
GO:0008097~5S rRNA binding	rplY,
GO:0008106~alcohol dehydrogenase (NADP+) activity	adhC,
GO:0008113~peptide-methionine (S)-S-oxide reductase activity	msrA,
GO:0008115~sarcosine oxidase activity	soxB,soxD,soxA,soxG,
GO:0008121~ubiquinol-cytochrome-c reductase activity	petA,petB,
GO:0008124~4-alpha-hydroxytetrahydrobiopterin dehydratase activity	BPSL3425,
GO:0008137~NADH dehydrogenase (ubiquinone) activity	BPSS1147,BPSS1144,BPSS1143,nuoB2,fdsB,nuoN,nuoM,nuoL,nuoJ,BPSL1217,nuoF,nuoC,nuoB1,nuoA,
GO:0008146~sulfotransferase activity	wcbF,BPSL2228,
GO:0008168~methyltransferase activity	gspO,BPSS1698,BPSS1333,BPSS1296,BPSS1245,BPSS1126,BPSS1109,BPSS1105,BPSS1077,BPSS0714,rlmJ,BPSS0277,BPSS0133,rsmG,cheR,rsmI,BPSL3118,BPSL3086,prmC,rsmH,prmA,BPSL2956,BPSL2882,pcm,trmB,BPSL2640,metE,BPSL2525,ubiG,trmD,thyA,BPSL2447,trmJ,prmB,BPSL2144,BPSL2084,rlmB,cobJ,cobI,cobL,cbiD,cobM,BPSL1736,BPSL1723,BPSL1666,rlmN,rlmD,rlmE,BPSL1343,rlmH,BPSL1016,BPSL1012,BPSL0997,BPSL0961,BPSL0948,BPSL0909,BPSL0862,BPSL0764,rsmA,BPSL0641,ubiE,BPSL0515,bioC,trmL,metH2,metH1,BPSL0317,BPSL0207,BPSL0157,sun,BPSL0100,BPSL0042,mnmC,
GO:0008170~N-methyltransferase activity	BPSS1698,BPSS1077,BPSL3118,BPSL3086,BPSL0948,BPSL0157,BPSL0042,
GO:0008171~O-methyltransferase activity	BPSS1296,BPSS1126,BPSS0277,BPSS0133,BPSL0997,
GO:0008173~RNA methyltransferase activity	trmJ,BPSL2144,rlmB,rlmN,rlmD,trmL,
GO:0008175~tRNA methyltransferase activity	trmL,
GO:0008176~tRNA (guanine-N7-)-methyltransferase activity	trmB,
GO:0008177~succinate dehydrogenase (ubiquinone) activity	sdhA,sdhB,
GO:0008186~ATP-dependent activity, acting on RNA	rho,
GO:0008194~UDP-glycosyltransferase activity	BPSS1351,BPSS0537,
GO:0008198~ferrous iron binding	hpcB,BPSS0165,BPSL3077,
GO:0008199~ferric iron binding	BPSL2863,catA,pcaG,pcaH,bfr,cyaY,
GO:0008233~peptidase activity	mprA,BPSS1555,gspO,BPSS2304,BPSS2205,BPSS2176,BPSS2094,BPSS1992,BPSS1973,BPSS1734,BPSS1562,BPSS1285,dtmL,BPSS1239,ftsI,BPSS1175,ftsH,BPSS0974,BPSS0962,ddpX,BPSS0827,BPSS0816,BPSS0666,BPSS0451,BPSS0238,pip,mrcA,BPSL3125,clpB,BPSL3096,BPSL3093,BPSL3089,BPSL2892,BPSL2639,BPSL2544,BPSL2482,BPSL2448,BPSL2433,lepB,BPSL2305,BPSL2297,BPSL2261,map2,map,BPSL2152,BPSL2142,BPSL2104,BPSL2016,lon,clpP,BPSL1247,BPSL1055,pepA,BPSL0917,lspA,clpA,BPSL0808,BPSL0787,BPSL0624,BPSL0574,BPSL0442,BPSL0408,BPSL0245,hslV,hslU,BPSL0194,mrdA,htpX,
GO:0008234~cysteine-type peptidase activity	BPSL3093,
GO:0008235~metalloexopeptidase activity	BPSS0563,map2,map,pepA,
GO:0008236~serine-type peptidase activity	mprA,BPSS1992,BPSS1973,BPSS1734,BPSS1562,BPSS1346,BPSS0974,BPSS0962,BPSL3125,BPSL2639,BPSL2433,lepB,BPSL2142,lon,clpP,BPSL0808,BPSL0574,BPSL0442,BPSL0245,
GO:0008237~metallopeptidase activity	mprA,BPSS1555,BPSS2312,BPSS2311,BPSS2205,BPSS2176,dtmL,BPSS1175,ftsH,ddpX,BPSS0827,BPSS0666,BPSL3089,BPSL2892,tldD,BPSL2544,BPSL2482,BPSL2478,BPSL2305,BPSL2261,BPSL2152,BPSL1492,BPSL1247,BPSL0917,BPSL0787,BPSL0194,htpX,
GO:0008239~dipeptidyl-peptidase activity	BPSS1992,BPSS1164,BPSS0654,
GO:0008251~tRNA-specific adenosine deaminase activity	tadA,
GO:0008252~nucleotidase activity	surE,
GO:0008253~5'-nucleotidase activity	surE,
GO:0008260~3-oxoacid CoA-transferase activity	scoA,scoB,
GO:0008270~zinc ion binding	ribD,BPSS2293,BPSS2280,BPSS2024,cdd,adhA,BPSS1918,dnaG,cobB,accD,folE,rspB,ileS2,BPSS1235,BPSS1125,ftsH,ddpX,ribA,BPSS0840,BPSS0827,BPSS0666,BPSS0564,fdhA,BPSS0164,tdh,priA,flhC,rpoC,hisD,hisI,BPSL3089,BPSL3077,yacG,cynT,pyrC,dnaJ,nrdR,metE,BPSL2544,guaD,add,rne,astE,hutI,cysS,gltX,dapE,tadA,alaS,BPSL1790,msrB,clpX,thiC,BPSL1242,BPSL1203,gluQ,ileS1,kynB,flhA,cbbA,ybeY,pdxA,uvrA,mutM,metH1,BPSL0372,dksA,adhC,queC,BPSL0130,htpX,BPSL0100,gmhA,
GO:0008271~secondary active sulfate transmembrane transporter activity	BPSS2285,BPSL1878,BPSL1202,
GO:0008276~protein methyltransferase activity	prmC,prmA,prmB,cobL,
GO:0008289~lipid binding	atpE,poxB,
GO:0008312~7S RNA binding	ffh,
GO:0008320~protein transmembrane transporter activity	secE,tatA,tatB,tatC,
GO:0008324~cation transmembrane transporter activity	BPSS1982,czcA,BPSL3280,BPSL0539,silA,
GO:0008379~thioredoxin peroxidase activity	tpx,BPSL2748,
GO:0008381~mechanosensitive ion channel activity	mscL,
GO:0008408~3'-5' exonuclease activity	polA,rep,BPSL1437,dnaE,dnaE2,dnaN,
GO:0008409~5'-3' exonuclease activity	BPSL2279,
GO:0008410~CoA-transferase activity	pcaJ,pcaI,scoA,scoB,
GO:0008412~4-hydroxybenzoate octaprenyltransferase activity	ubiA,
GO:0008422~beta-glucosidase activity	bglB,
GO:0008425~2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity	ubiG,ubiE,
GO:0008428~ribonuclease inhibitor activity	BPSL2194,
GO:0008442~3-hydroxyisobutyrate dehydrogenase activity	mmsB,
GO:0008444~CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity	BPSL2419,
GO:0008446~GDP-mannose 4,6-dehydratase activity	wcbK,gca,
GO:0008448~N-acetylglucosamine-6-phosphate deacetylase activity	BPSL0496,
GO:0008460~dTDP-glucose 4,6-dehydratase activity	rmlB,
GO:0008478~pyridoxal kinase activity	pdxY,
GO:0008479~queuine tRNA-ribosyltransferase activity	tgt,
GO:0008483~transaminase activity	BPSS2333,tyrB2,BPSS2171,BPSS2121,glmS,ilvE,BPSS1635,BPSS1467,BPSS1197,BPSS0869,BPSS0826,tyrB1,BPSS0742,phnW,BPSS0468,BPSS0422,tyrB,BPSS0308,gabT,BPSL3384,gcvT,hisC2,BPSL2732,BPSL2650,BPSL2629,hemL,serC,argM,BPSL2372,BPSL2335,iscS,BPSL2168,BPSL1724,BPSL1476,BPSL1239,BPSL1083,cobC,argD,hisC1,BPSL0476,BPSL0409,bioA,
GO:0008484~sulfuric ester hydrolase activity	BPSS0560,wcbQ,
GO:0008495~protoheme IX farnesyltransferase activity	ctaB,
GO:0008519~ammonium transmembrane transporter activity	BPSL0435,
GO:0008521~acetyl-CoA transmembrane transporter activity	BPSS0594,
GO:0008531~riboflavin kinase activity	BPSL0907,
GO:0008534~oxidized purine nucleobase lesion DNA N-glycosylase activity	mutM,
GO:0008556~P-type potassium transmembrane transporter activity	kdpC,kdpB,kdpA,BPSL1170,
GO:0008564~protein-exporting ATPase activity	secA,
GO:0008641~ubiquitin-like modifier activating enzyme activity	BPSL0855,BPSL0441,
GO:0008649~rRNA methyltransferase activity	rlmJ,rsmG,pcm,BPSL2525,rsmA,sun,
GO:0008650~rRNA (uridine-2'-O-)-methyltransferase activity	rlmE,
GO:0008657~DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) inhibitor activity	yacG,
GO:0008658~penicillin binding	oxa,BPSS2304,ftsI,BPSS0816,BPSS0238,mrcA,BPSL2104,mrdA,
GO:0008659~(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase activity	fabZ,
GO:0008660~1-aminocyclopropane-1-carboxylate deaminase activity	acdS,BPSL2618,
GO:0008661~1-deoxy-D-xylulose-5-phosphate synthase activity	dxs,
GO:0008663~2',3'-cyclic-nucleotide 2'-phosphodiesterase activity	cpdB,
GO:0008664~2'-5'-RNA ligase activity	BPSL3156,
GO:0008666~2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase activity	dapD,
GO:0008670~2,4-dienoyl-CoA reductase (NADPH) activity	fadH,
GO:0008671~2-dehydro-3-deoxygalactonokinase activity	BPSL2971,
GO:0008675~2-dehydro-3-deoxy-phosphogluconate aldolase activity	eda,
GO:0008676~3-deoxy-8-phosphooctulonate synthase activity	kdsA2,kdsA1,
GO:0008677~2-dehydropantoate 2-reductase activity	BPSL1399,BPSL0885,BPSL0844,
GO:0008679~2-hydroxy-3-oxopropionate reductase activity	glxR,
GO:0008682~2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone hydroxylase activity	coq7,
GO:0008685~2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase activity	ispF,
GO:0008686~3,4-dihydroxy-2-butanone-4-phosphate synthase activity	ribB,
GO:0008687~3,4-dihydroxyphenylacetate 2,3-dioxygenase activity	hpcB,BPSS0165,
GO:0008689~3-demethylubiquinone-9 3-O-methyltransferase activity	ubiG,
GO:0008690~3-deoxy-manno-octulosonate cytidylyltransferase activity	kdsB,
GO:0008693~3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase activity	fabZ,
GO:0008694~3-octaprenyl-4-hydroxybenzoate carboxy-lyase activity	ubiD,
GO:0008701~4-hydroxy-2-oxovalerate aldolase activity	mhpE,
GO:0008703~5-amino-6-(5-phosphoribosylamino)uracil reductase activity	ribD,BPSS1125,
GO:0008704~5-carboxymethyl-2-hydroxymuconate delta-isomerase activity	hpcD,BPSS0693,BPSS0692,
GO:0008705~methionine synthase activity	metH2,metH1,
GO:0008710~8-amino-7-oxononanoate synthase activity	bioF,
GO:0008712~ADP-glyceromanno-heptose 6-epimerase activity	hldD,
GO:0008714~AMP nucleosidase activity	BPSS1922,amn,BPSS1771,BPSL1187,
GO:0008716~D-alanine-D-alanine ligase activity	ddl,
GO:0008718~D-amino-acid dehydrogenase activity	dadA,
GO:0008720~D-lactate dehydrogenase activity	ldhA,
GO:0008721~D-serine ammonia-lyase activity	dsdA,
GO:0008725~DNA-3-methyladenine glycosylase activity	tag,BPSL0101,
GO:0008726~alkanesulfonate monooxygenase activity	ssuD,
GO:0008728~GTP diphosphokinase activity	relA,
GO:0008734~L-aspartate oxidase activity	nadB,
GO:0008738~L-fuculose-phosphate aldolase activity	BPSS1417,
GO:0008743~L-threonine 3-dehydrogenase activity	tdh,
GO:0008745~N-acetylmuramoyl-L-alanine amidase activity	BPSS1840,BPSS1490,ampD,BPSL1872,BPSL0859,
GO:0008750~NAD(P)+ transhydrogenase (AB-specific) activity	pntAA,pntB,
GO:0008757~S-adenosylmethionine-dependent methyltransferase activity	BPSS1873,cheR,BPSL3086,cobI,BPSL0641,trmL,mnmC,
GO:0008758~UDP-2,3-diacylglucosamine hydrolase activity	lpxH,
GO:0008759~UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase activity	lpxC,wcbS,
GO:0008760~UDP-N-acetylglucosamine 1-carboxyvinyltransferase activity	murA,
GO:0008761~UDP-N-acetylglucosamine 2-epimerase activity	wecB,
GO:0008762~UDP-N-acetylmuramate dehydrogenase activity	murB,
GO:0008763~UDP-N-acetylmuramate-L-alanine ligase activity	murC,
GO:0008764~UDP-N-acetylmuramoylalanine-D-glutamate ligase activity	murD,
GO:0008765~UDP-N-acetylmuramoylalanyl-D-glutamate-2,6-diaminopimelate ligase activity	murE,
GO:0008766~UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate-D-alanyl-D-alanine ligase activity	murF,
GO:0008772~[isocitrate dehydrogenase (NADP+)] kinase activity	aceK,
GO:0008773~[protein-PII] uridylyltransferase activity	glnD,
GO:0008774~acetaldehyde dehydrogenase (acetylating) activity	mhpF,
GO:0008775~acetate CoA-transferase activity	cat2,BPSS0514,
GO:0008776~acetate kinase activity	ackA,
GO:0008780~acyl-[acyl-carrier-protein]-UDP-N-acetylglucosamine O-acyltransferase activity	lpxA,
GO:0008782~adenosylhomocysteine nucleosidase activity	BPSL1978,
GO:0008783~agmatinase activity	speB,
GO:0008784~alanine racemase activity	dadX,
GO:0008785~alkyl hydroperoxide reductase activity	ahpF,ahpD,
GO:0008791~arginine N-succinyltransferase activity	BPSL2389,BPSL2388,
GO:0008793~aromatic-amino-acid:2-oxoglutarate aminotransferase activity	tyrB2,
GO:0008794~arsenate reductase (glutaredoxin) activity	BPSS2348,
GO:0008795~NAD+ synthase activity	nadE,
GO:0008800~beta-lactamase activity	oxa,penA,
GO:0008802~betaine-aldehyde dehydrogenase activity	betA,betB,
GO:0008803~bis(5'-nucleosyl)-tetraphosphatase (symmetrical) activity	apaH,
GO:0008804~carbamate kinase activity	arcC,
GO:0008806~carboxymethylenebutenolidase activity	BPSS1767,
GO:0008808~cardiolipin synthase activity	clsA,clsB,
GO:0008810~cellulase activity	bcsZ,
GO:0008812~choline dehydrogenase activity	betA,
GO:0008813~chorismate lyase activity	ubiC,
GO:0008815~citrate (pro-3S)-lyase activity	BPSS2159,BPSS1639,
GO:0008817~cob(I)yrinic acid a,c-diamide adenosyltransferase activity	BPSL2841,cobO,
GO:0008818~cobalamin 5'-phosphate synthase activity	cobS,
GO:0008820~cobinamide phosphate guanylyltransferase activity	BPSL0986,
GO:0008821~crossover junction endodeoxyribonuclease activity	ruvC,
GO:0008824~cyanate hydratase activity	cynS,
GO:0008828~dATP pyrophosphohydrolase activity	BPSL0645,
GO:0008829~dCTP deaminase activity	dcd,
GO:0008830~dTDP-4-dehydrorhamnose 3,5-epimerase activity	rmlC,
GO:0008831~dTDP-4-dehydrorhamnose reductase activity	rmlD,
GO:0008835~diaminohydroxyphosphoribosylaminopyrimidine deaminase activity	ribD,BPSS1125,
GO:0008836~diaminopimelate decarboxylase activity	BPSS0303,lysA,
GO:0008837~diaminopimelate epimerase activity	dapF,
GO:0008839~4-hydroxy-tetrahydrodipicolinate reductase	dapB,
GO:0008840~4-hydroxy-tetrahydrodipicolinate synthase activity	dapA,
GO:0008841~dihydrofolate synthase activity	folC,
GO:0008851~ethanolamine ammonia-lyase activity	eutB,eutC,
GO:0008853~exodeoxyribonuclease III activity	BPSL2315,BPSL0191,
GO:0008854~exodeoxyribonuclease V activity	recD,recB,recC,
GO:0008855~exodeoxyribonuclease VII activity	xseB,xseA,
GO:0008859~exoribonuclease II activity	rnr,
GO:0008860~ferredoxin-NAD+ reductase activity	benC,
GO:0008863~formate dehydrogenase (NAD+) activity	fdoG,fdoI,BPSS0969,fdsA,
GO:0008864~formyltetrahydrofolate deformylase activity	purU,
GO:0008865~fructokinase activity	scrK,
GO:0008869~galactonate dehydratase activity	BPSL0699,
GO:0008873~gluconate 2-dehydrogenase activity	tkrA,
GO:0008879~glucose-1-phosphate thymidylyltransferase activity	rmlA,
GO:0008880~glucuronate isomerase activity	BPSL1997,
GO:0008881~glutamate racemase activity	murI,
GO:0008882~[glutamate-ammonia-ligase] adenylyltransferase activity	glnE,
GO:0008883~glutamyl-tRNA reductase activity	hemA,
GO:0008887~glycerate kinase activity	glxK,BPSL1401,
GO:0008889~glycerophosphodiester phosphodiesterase activity	ugpQ,
GO:0008890~glycine C-acetyltransferase activity	kbl,
GO:0008892~guanine deaminase activity	guaD,
GO:0008893~guanosine-3',5'-bis(diphosphate) 3'-diphosphatase activity	spoT,
GO:0008897~holo-[acyl-carrier-protein] synthase activity	BPSS2320,BPSS2266,acpS,BPSL2345,
GO:0008899~homoserine O-succinyltransferase activity	metXS,
GO:0008903~hydroxypyruvate isomerase activity	hyi,
GO:0008909~isochorismate synthase activity	pchA,
GO:0008914~leucyltransferase activity	bpt,aat,
GO:0008915~lipid-A-disaccharide synthase activity	lpxB,
GO:0008920~lipopolysaccharide heptosyltransferase activity	waaC1,waaC2,
GO:0008929~methylglyoxal synthase activity	mgsA,
GO:0008930~methylthioadenosine nucleosidase activity	BPSL1978,
GO:0008932~lytic endotransglycosylase activity	rlpA,mltG,
GO:0008933~lytic transglycosylase activity	BPSL1345,
GO:0008934~inositol monophosphate 1-phosphatase activity	suhB,
GO:0008939~nicotinate-nucleotide-dimethylbenzimidazole phosphoribosyltransferase activity	cobT,
GO:0008940~nitrate reductase activity	BPSS1241,narG,narH,narI,BPSL2312,
GO:0008941~nitric oxide dioxygenase activity	hmpA,
GO:0008942~nitrite reductase [NAD(P)H] activity	nirB,BPSS1242,BPSL0512,BPSL0511,
GO:0008948~oxaloacetate decarboxylase activity	BPSL3242,maeB,BPSL2194,
GO:0008953~penicillin amidase activity	BPSL0730,
GO:0008955~peptidoglycan glycosyltransferase activity	BPSS2304,ftsI,BPSS0816,BPSS0238,mrcA,ftsW,mtgA,BPSL2104,rodA,
GO:0008957~phenylacetaldehyde dehydrogenase activity	feaB,BPSL0051,
GO:0008961~phosphatidylglycerol-prolipoprotein diacylglyceryl transferase activity	lgt,
GO:0008962~phosphatidylglycerophosphatase activity	BPSL2961,
GO:0008963~phospho-N-acetylmuramoyl-pentapeptide-transferase activity	BPSL2671,wbiH,mraY,
GO:0008964~phosphoenolpyruvate carboxylase activity	ppc,
GO:0008965~phosphoenolpyruvate-protein phosphotransferase activity	BPSL0498,BPSL0440,
GO:0008966~phosphoglucosamine mutase activity	glmM,
GO:0008967~phosphoglycolate phosphatase activity	gph,BPSL2524,
GO:0008968~D-sedoheptulose 7-phosphate isomerase activity	gmhA,
GO:0008972~phosphomethylpyrimidine kinase activity	BPSS1104,BPSL2696,thiD,
GO:0008976~polyphosphate kinase activity	BPSS1281,ppk,
GO:0008977~prephenate dehydrogenase (NAD+) activity	aroA,
GO:0008982~protein-N(PI)-phosphohistidine-sugar phosphotransferase activity	BPSL0531,BPSL0499,
GO:0008983~protein-glutamate O-methyltransferase activity	cheR,
GO:0008984~protein-glutamate methylesterase activity	cheB2,cheB1,
GO:0008986~pyruvate, water dikinase activity	ppsA,
GO:0008987~quinolinate synthetase A activity	nadA,
GO:0008995~ribonuclease E activity	rne,
GO:0008998~ribonucleoside-triphosphate reductase activity	BPSL2357,BPSL2356,
GO:0008999~ribosomal-protein-alanine N-acetyltransferase activity	rimI,
GO:0009001~serine O-acetyltransferase activity	BPSS1344,BPSS0038,BPSL2775,BPSL2248,
GO:0009002~serine-type D-Ala-D-Ala carboxypeptidase activity	BPSS1239,ftsI,BPSS0451,mrcA,BPSL2297,BPSL2104,BPSL1055,BPSL0408,mrdA,
GO:0009007~site-specific DNA-methyltransferase (adenine-specific) activity	BPSL3118,prmB,BPSL0948,BPSL0042,
GO:0009009~site-specific recombinase activity	xerD,
GO:0009013~succinate-semialdehyde dehydrogenase [NAD(P)+] activity	gabD,
GO:0009014~succinyl-diaminopimelate desuccinylase activity	dapE,
GO:0009015~N-succinylarginine dihydrolase activity	astB,
GO:0009016~succinyldiaminopimelate transaminase activity	BPSL2168,
GO:0009017~succinylglutamate desuccinylase activity	astE,
GO:0009019~tRNA (guanine-N1-)-methyltransferase activity	trmD,
GO:0009022~tRNA nucleotidyltransferase activity	rph,
GO:0009028~tartronate-semialdehyde synthase activity	gcl,
GO:0009029~tetraacyldisaccharide 4'-kinase activity	lpxK,
GO:0009030~thiamine-phosphate kinase activity	thiL,
GO:0009032~thymidine phosphorylase activity	deoA,
GO:0009035~type I site-specific deoxyribonuclease activity	BPSL0945,
GO:0009037~tyrosine-based site-specific recombinase activity	xerD,xerC,
GO:0009039~urease activity	ureC,ureB,ureA,
GO:0009041~uridylate kinase activity	pyrH,
GO:0009055~electron transfer activity	sdhB,cyoC,BPSS1744,BPSS1729,BPSS1720,fdoG,fdoI,BPSS1650,BPSS1487,BPSS1452,BPSS1377,BPSS1340,BPSS1332,BPSS1224,BPSS0977,BPSS0673,BPSS0552,BPSS0404,BPSS0235,BPSL3354,BPSL3271,BPSL3245,BPSL3181,msrQ,petB,petC,azoR,BPSL2876,rubA,dsbB,etfB,etfA,BPSL2463,fdx,fdxA,BPSL2114,BPSL2057,BPSL2017,BPSL1600,BPSL1293,BPSL1261,BPSL1257,BPSL1256,BPSL1217,BPSL1104,BPSL1100,BPSL1099,BPSL0968,BPSL0723,BPSL0722,BPSL0720,BPSL0697,BPSL0696,cydA,BPSL0458,BPSL0453,BPSL0247,BPSL0072,
GO:0009374~biotin binding	BPSL1393,BPSL0311,
GO:0009378~four-way junction helicase activity	ruvB,ruvA,
GO:0009381~excinuclease ABC activity	uvrB,uvrC,uvrA,
GO:0009486~cytochrome bo3 ubiquinol oxidase activity	cyoA,cyoC,cyoD,
GO:0009982~pseudouridine synthase activity	truA,rluC,BPSL2162,BPSL1921,truB,BPSL1532,BPSL0930,BPSL0895,
GO:0010181~FMN binding	BPSS2268,lldA,fadH,BPSS1800,BPSS1571,mdlB,BPSS1464,BPSS1241,BPSS0877,BPSS0720,BPSS0550,BPSS0447,BPSL3429,BPSL3245,msrQ,azoR,dusB,fdsB,BPSL1967,dusA,BPSL1645,BPSL1599,nuoF,dfp,pdxH,BPSL0850,
GO:0010340~carboxyl-O-methyltransferase activity	bioC,
GO:0010945~CoA pyrophosphatase activity	BPSL2486,
GO:0015035~protein-disulfide reductase activity	dsbB,trxA,BPSL0856,grxC,
GO:0015036~disulfide oxidoreductase activity	dsbD,BPSL3075,BPSL2981,trxA,BPSL0856,dsbA,
GO:0015078~proton transmembrane transporter activity	atpB,atpE,atpF,
GO:0015079~potassium ion transmembrane transporter activity	kup,
GO:0015087~cobalt ion transmembrane transporter activity	corA,
GO:0015095~magnesium ion transmembrane transporter activity	corA,
GO:0015098~molybdate ion transmembrane transporter activity	BPSS1787,
GO:0015099~nickel cation transmembrane transporter activity	hoxN,
GO:0015103~inorganic anion transmembrane transporter activity	BPSS1433,crcB,
GO:0015109~chromate transmembrane transporter activity	chrA,BPSL1079,BPSL0882,BPSL0285,BPSL0284,
GO:0015112~nitrate transmembrane transporter activity	BPSS1244,narK,BPSL2927,BPSL2307,
GO:0015113~nitrite transmembrane transporter activity	narK,
